         547901 function calls (544481 primitive calls) in 33.652 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 abc.py:170(ResourceLoader)
      134    0.000    0.000    0.000    0.000 abc.py:178(__instancecheck__)
        6    0.000    0.000    0.001    0.000 abc.py:18(_register)
        1    0.000    0.000    0.000    0.000 abc.py:186(InspectLoader)
    30/24    0.000    0.000    0.001    0.000 abc.py:194(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 abc.py:239(ExecutionLoader)
        1    0.000    0.000    0.000    0.000 abc.py:276(FileLoader)
        1    0.000    0.000    0.000    0.000 abc.py:285(SourceLoader)
        1    0.000    0.000    0.000    0.000 abc.py:29(Finder)
        1    0.000    0.000    0.000    0.000 abc.py:47(MetaPathFinder)
        1    0.000    0.000    0.000    0.000 abc.py:79(PathEntryFinder)
       15    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        1    0.000    0.000    0.000    0.000 appdirs.py:365(AppDirs)
        1    0.000    0.000    0.000    0.000 appdirs.py:9(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.001    0.001 base64mime.py:25(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:129(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:135(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:141(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:24(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:260(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:31(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:377(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:489(different_locale)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:501(LocaleTextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:532(LocaleHTMLCalendar)
        2    0.000    0.000    0.000    0.000 calendar.py:55(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:69(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:72(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:74(__init__)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
        1    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
       30    0.000    0.000    0.000    0.000 codecs.py:318(decode)
        1    0.000    0.000    0.000    0.000 compat.py:74(get_BytesIO)
        2    0.000    0.000    0.000    0.000 contextlib.py:129(contextmanager)
      471    0.001    0.000    0.003    0.000 copy.py:268(_reconstruct)
      471    0.002    0.000    0.008    0.000 copy.py:66(copy)
      471    0.000    0.000    0.001    0.000 copyreg.py:87(__newobj__)
       17    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        1    0.000    0.000    0.001    0.001 encoders.py:5(<module>)
        1    0.000    0.000    0.000    0.000 enum.py:114(__prepare__)
        1    0.000    0.000    0.000    0.000 enum.py:124(__new__)
        1    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
        1    0.000    0.000    0.000    0.000 enum.py:160(<setcomp>)
        2    0.000    0.000    0.000    0.000 enum.py:20(_is_descriptor)
     7165    0.007    0.000    0.016    0.000 enum.py:265(__call__)
        4    0.000    0.000    0.000    0.000 enum.py:28(_is_dunder)
        1    0.000    0.000    0.000    0.000 enum.py:310(__getattr__)
        1    0.000    0.000    0.000    0.000 enum.py:335(__members__)
        8    0.000    0.000    0.000    0.000 enum.py:351(__setattr__)
        4    0.000    0.000    0.000    0.000 enum.py:36(_is_sunder)
        1    0.000    0.000    0.001    0.001 enum.py:364(_create_)
        3    0.000    0.000    0.000    0.000 enum.py:417(_get_mixins_)
        1    0.000    0.000    0.000    0.000 enum.py:462(_find_new_)
     7164    0.008    0.000    0.008    0.000 enum.py:515(__new__)
        2    0.000    0.000    0.000    0.000 enum.py:535(_generate_next_value_)
        2    0.000    0.000    0.000    0.000 enum.py:579(__hash__)
       41    0.000    0.000    0.000    0.000 enum.py:592(name)
        2    0.000    0.000    0.000    0.000 enum.py:597(value)
        1    0.000    0.000    0.000    0.000 enum.py:65(__init__)
        4    0.000    0.000    0.000    0.000 enum.py:70(__setitem__)
        2    0.000    0.000    0.000    0.000 enum.py:758(_missing_)
        2    0.000    0.000    0.000    0.000 enum.py:765(_create_pseudo_member_)
      216    0.001    0.000    0.002    0.000 enum.py:795(__or__)
     3366    0.009    0.000    0.025    0.000 enum.py:801(__and__)
       17    0.000    0.000    0.000    0.000 enum.py:820(_high_bit)
        2    0.000    0.000    0.000    0.000 enum.py:837(_decompose)
        2    0.000    0.000    0.000    0.000 enum.py:855(<listcomp>)
        7    0.000    0.000    0.000    0.000 enum.py:866(<lambda>)
       23    0.000    0.000    0.000    0.000 enum.py:872(_power_of_two)
        1    0.000    0.000    0.000    0.000 errors.py:101(ObsoleteHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:104(NonASCIILocalPartDefect)
        1    0.000    0.000    0.000    0.000 errors.py:12(MessageParseError)
        1    0.000    0.000    0.000    0.000 errors.py:16(HeaderParseError)
        1    0.000    0.000    0.000    0.000 errors.py:20(BoundaryError)
        1    0.000    0.000    0.000    0.000 errors.py:24(MultipartConversionError)
        1    0.000    0.000    0.000    0.000 errors.py:28(CharsetError)
        1    0.000    0.000    0.000    0.000 errors.py:33(MessageDefect)
        1    0.000    0.000    0.000    0.000 errors.py:41(NoBoundaryInMultipartDefect)
        1    0.000    0.000    0.000    0.000 errors.py:44(StartBoundaryNotFoundDefect)
        1    0.000    0.000    0.000    0.000 errors.py:47(CloseBoundaryNotFoundDefect)
        1    0.000    0.000    0.001    0.001 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:50(FirstHeaderLineIsContinuationDefect)
        1    0.000    0.000    0.000    0.000 errors.py:53(MisplacedEnvelopeHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:56(MissingHeaderBodySeparatorDefect)
        1    0.000    0.000    0.000    0.000 errors.py:61(MultipartInvariantViolationDefect)
        1    0.000    0.000    0.000    0.000 errors.py:64(InvalidMultipartContentTransferEncodingDefect)
        1    0.000    0.000    0.000    0.000 errors.py:67(UndecodableBytesDefect)
        1    0.000    0.000    0.000    0.000 errors.py:70(InvalidBase64PaddingDefect)
        1    0.000    0.000    0.000    0.000 errors.py:73(InvalidBase64CharactersDefect)
        1    0.000    0.000    0.000    0.000 errors.py:78(HeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:8(MessageError)
        1    0.000    0.000    0.000    0.000 errors.py:84(InvalidHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:87(HeaderMissingRequiredValue)
        1    0.000    0.000    0.000    0.000 errors.py:90(NonPrintableDefect)
        1    0.000    0.000    0.001    0.001 expat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:136(FeedParser)
        1    0.000    0.000    0.017    0.017 feedparser.py:20(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:45(BufferedSubFile)
        1    0.000    0.000    0.000    0.000 feedparser.py:532(BytesFeedParser)
       10    0.000    0.000    0.000    0.000 functools.py:44(update_wrapper)
        9    0.000    0.000    0.000    0.000 functools.py:74(wraps)
        1    0.000    0.000    0.000    0.000 functools.py:750(singledispatch)
        2    0.000    0.000    0.000    0.000 functools.py:787(register)
      865    0.003    0.000    0.004    0.000 genericpath.py:117(_splitext)
       10    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
